id,category,group,title,current_price,new_price
"cat_k_food-flask_14","Kitchen Utensils","Food Flask","Smart Cup",0,
"cat_k_food-flask_15","Kitchen Utensils","Food Flask","Spiderman - 650ML",0,
"cat_k_food-flask_16","Kitchen Utensils","Food Flask","XY - Food Shelt",0,
"cat_k_food-warmer_1","Kitchen Utensils","Food Warmer","2 in 1",0,
"cat_k_food-warmer_2","Kitchen Utensils","Food Warmer","Master Chef (3.7L) - Multipurpose",0,
"cat_k_food-warmer_3","Kitchen Utensils","Food Warmer","Master Chef - FF9092 - 3 in 1",0,
"cat_k_food-warmer_4","Kitchen Utensils","Food Warmer","Rishabh - 3 in 1",0,
"cat_k_food-warmer_5","Kitchen Utensils","Food Warmer","VTCL - Rose Gold - 3 in 1",0,
"cat_k_food-warmer_6","Kitchen Utensils","Food Warmer","VTCL - Sassy Classic - 3 in 1",0,
"cat_k_food-warmer_7","Kitchen Utensils","Food Warmer","VTCL Satin - 3 in 1",0,
"cat_k_fry-pan_1","Kitchen Utensils","Fry Pan","Air Fry Pan - Steel (Non-Stick)",0,
"cat_k_fry-pan_2","Kitchen Utensils","Fry Pan","Manna - Stainless",0,
"cat_k_fry-pan_3","Kitchen Utensils","Fry Pan","Picasso - Aluminium - With Cover",0,
"cat_k_fry-pan_4","Kitchen Utensils","Fry Pan","Picasso - Aluminium - Without Cover - Big",0,
"cat_k_fry-pan_5","Kitchen Utensils","Fry Pan","Picasso - Aluminium - Without Cover - Small",0,
"cat_k_fry-pan_6","Kitchen Utensils","Fry Pan","Picasso - Non Stick - With Cover",0,
"cat_k_gas-cylinder_1","Kitchen Utensils","Gas Cylinder","3 KG",0,
"cat_k_gas-lighter_1","Kitchen Utensils","Gas Lighter","Standard",0,
"cat_k_gas-stove_1","Kitchen Utensils","Gas Stove","Glass",0,
"cat_k_gas-stove_2","Kitchen Utensils","Gas Stove","Single",0,
"cat_k_gas-stove_3","Kitchen Utensils","Gas Stove","Stainless",0,
"cat_k_ghana-must-go_1","Kitchen Utensils","Ghana Must Go","Big",0,
"cat_k_ghana-must-go_2","Kitchen Utensils","Ghana Must Go","Liverpool",0,
"cat_k_glue_1","Kitchen Utensils","Glue","Super Glue - Big",0,
"cat_k_glue_2","Kitchen Utensils","Glue","Super Glue - Small",0,
"cat_k_griller_1","Kitchen Utensils","Griller","Master Chef - HP408",0,
"cat_e_gum_1","Electrical Materials and Fittings","Gum","4 Minutes - Steel - 2 in 1",0,
"cat_k_hair-dryer_1","Kitchen Utensils","Hair Dryer","Professional - Nil",0,
"cat_k_hand-grater_1","Kitchen Utensils","Hand Grater","4 Shaped",0,
"cat_k_hand-grater_2","Kitchen Utensils","Hand Grater","Beans - Manual",0,
"cat_k_hand-grater_3","Kitchen Utensils","Hand Grater","Brava Spring Slicer",0,
"cat_k_hand-grater_4","Kitchen Utensils","Hand Grater","Chilling and Nuts - Stainless - Manual",0,
"cat_k_hand-grater_5","Kitchen Utensils","Hand Grater","Chopper - Manual",0,
"cat_k_hand-grater_6","Kitchen Utensils","Hand Grater","Flat - Big",0,
"cat_k_hand-grater_7","Kitchen Utensils","Hand Grater","Flat Round",0,
"cat_k_hand-grater_8","Kitchen Utensils","Hand Grater","Genius Nicer Dicer",0,
"cat_k_hand-grater_9","Kitchen Utensils","Hand Grater","Hexa - Manual",0,
"cat_k_hand-grater_10","Kitchen Utensils","Hand Grater","Manna Chilli - Manual",0,
"cat_k_hand-grater_11","Kitchen Utensils","Hand Grater","Manna Wooden - Manual",0,
"cat_k_hand-grater_12","Kitchen Utensils","Hand Grater","Manual",0,
"cat_k_hand-grater_13","Kitchen Utensils","Hand Grater","Okro - 6 Faces",0,
"cat_k_hand-grater_14","Kitchen Utensils","Hand Grater","Rashnik Chilli Cutter - Round - Manual",0,
"cat_k_hand-grater_15","Kitchen Utensils","Hand Grater","Rashnik Deluxe - Manual",0,
"cat_k_hand-grater_16","Kitchen Utensils","Hand Grater","Rashnik Over Cutter - Manual",0,
"cat_k_hand-grater_17","Kitchen Utensils","Hand Grater","Round Shape",0,
"cat_k_hand-grater_18","Kitchen Utensils","Hand Grater","Small",0,
"cat_k_hand-grater_19","Kitchen Utensils","Hand Grater","Supreme Vegetable - Manual",0,
"cat_k_hand-mixer_1","Kitchen Utensils","Hand Mixer","Scarlett",0,
"cat_k_hanger_1","Kitchen Utensils","Hanger","for Bag",0,
"cat_k_hanger_2","Kitchen Utensils","Hanger","For Clothe - Iron",0,
"cat_k_hanger_3","Kitchen Utensils","Hanger","For Clothe - Plastic",0,
"cat_k_hanger_4","Kitchen Utensils","Hanger","Iron - Spoon",0,
"cat_k_hanger_5","Kitchen Utensils","Hanger","Kitchen",0,
"cat_k_hanger_6","Kitchen Utensils","Hanger","Pant",0,
"cat_k_hanger_7","Kitchen Utensils","Hanger","Small for Fridge",0,
"cat_k_hanger_8","Kitchen Utensils","Hanger","SS - Bathroom - Iron/Plastic",0,
"cat_k_hanger_9","Kitchen Utensils","Hanger","Wuve - Bathroom - Plastic",0,
"cat_k_holder_1","Kitchen Utensils","Holder","Brush and Tooth Paste",0,
"cat_k_hot-plate_1","Kitchen Utensils","Hot Plate","Glass - Single",0,
"cat_k_hot-plate_2","Kitchen Utensils","Hot Plate","National HP - 100A - Single - 1,500 W",0,
"cat_k_hot-plate_3","Kitchen Utensils","Hot Plate","Rashnik - Double - Flat",0,
"cat_k_hot-plate_4","Kitchen Utensils","Hot Plate","Rashnik - Double - Ring",0,
"cat_k_hot-plate_5","Kitchen Utensils","Hot Plate","Rashnik - RN - 4076B - Single - 1000W",0,
"cat_k_ice-bucket_1","Kitchen Utensils","Ice Bucket","Standard",0,
"cat_k_iron_1","Kitchen Utensils","Iron","JD SMP - DI01",0,
"cat_k_iron_2","Kitchen Utensils","Iron","JD SMP - DI03",0,
"cat_k_iron_3","Kitchen Utensils","Iron","Rashnik",0,
"cat_e_iron-electric_1","Electrical Materials and Fittings","Iron - Electric","Emouliness",0,
"cat_e_iron-electric_2","Electrical Materials and Fittings","Iron - Electric","Qasa - QDL-300",0,
"cat_e_iron-electric_3","Electrical Materials and Fittings","Iron - Electric","Rashnik - RN-702",0,
"cat_e_iron-electric_4","Electrical Materials and Fittings","Iron - Electric","SMP - DI01",0,
"cat_e_iron-electric_5","Electrical Materials and Fittings","Iron - Electric","SMP - S105",0,
"cat_k_jug_1","Kitchen Utensils","Jug","Flower with Cups",0,
"cat_k_jug_2","Kitchen Utensils","Jug","Hana - Glass - Big",0,
"cat_k_jug_3","Kitchen Utensils","Jug","Hana - Glass - Small 3 Pcs",0,
"cat_k_jug_4","Kitchen Utensils","Jug","Hana - Jug and Cup - 7 Pcs",0,
"cat_k_jug_5","Kitchen Utensils","Jug","Huiluong - 4 in 1",0,
"cat_k_jug_6","Kitchen Utensils","Jug","JDSMP - 2.4L",0,
"cat_k_jug_7","Kitchen Utensils","Jug","Lemon with Cups",0,
"cat_k_jug_8","Kitchen Utensils","Jug","Salvin",0,
"cat_k_jug_9","Kitchen Utensils","Jug","Salvin - Plastic with Cups",0,
"cat_k_jug_10","Kitchen Utensils","Jug","SMP - Unbreakable with Cups",0,
"cat_k_jug_11","Kitchen Utensils","Jug","SMP - Unbreakable with Cups/Handle",0,
"cat_k_jug_12","Kitchen Utensils","Jug","Stainless",0,
"cat_k_jug_13","Kitchen Utensils","Jug","Yeecome",0,
"cat_k_juicer_1","Kitchen Utensils","Juicer","Manual",0,
"cat_k_juicer_2","Kitchen Utensils","Juicer","Rechargeable",0,
"cat_k_kettle_1","Kitchen Utensils","Kettle","Crown Star - 5L - Electric",0,
"cat_k_kettle_2","Kitchen Utensils","Kettle","Manna - ZBH03 - 3L - Whistling Kettle",0,
"cat_k_kettle_3","Kitchen Utensils","Kettle","SMP - SK03 - 4L - Whistling Kettle",0,
"cat_k_kettle_4","Kitchen Utensils","Kettle","Tower - Alluminium - 3L",0,
"cat_k_kettle_5","Kitchen Utensils","Kettle","Tower - Stainless - 3L",0,
