id,rename_photo_to,category,group,title,current_image
"cat_e_radio_2","cat_e_radio_2.jpg","Electrical Materials and Fittings","Radio","MP3 - TG-184","/images/catalog/web/radio.jpg"
"cat_e_screw-driver_1","cat_e_screw-driver_1.jpg","Electrical Materials and Fittings","Screw Driver","Flat and Star","/images/catalog/web/screw-driver.jpg"
"cat_e_screw-driver_2","cat_e_screw-driver_2.jpg","Electrical Materials and Fittings","Screw Driver","Tester","/images/catalog/web/screw-driver.jpg"
"cat_e_socket_1","cat_e_socket_1.jpg","Electrical Materials and Fittings","Socket","Max Power - 4000W - OPK","/images/catalog/web/socket.jpg"
"cat_e_socket_2","cat_e_socket_2.jpg","Electrical Materials and Fittings","Socket","Standard","/images/catalog/web/socket.jpg"
"cat_e_speaker_1","cat_e_speaker_1.jpg","Electrical Materials and Fittings","Speaker","Bluetooth","/images/catalog/web/speaker.jpg"
"cat_e_switch_1","cat_e_switch_1.jpg","Electrical Materials and Fittings","Switch","1 Gang","/images/catalog/web/switch.jpg"
"cat_e_switch_2","cat_e_switch_2.jpg","Electrical Materials and Fittings","Switch","2 Gang","/images/catalog/web/switch.jpg"
"cat_e_switch_3","cat_e_switch_3.jpg","Electrical Materials and Fittings","Switch","3 Gang","/images/catalog/web/switch.jpg"
"cat_e_torchlight_1","cat_e_torchlight_1.jpg","Electrical Materials and Fittings","Torchlight","AF-KM808S","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_2","cat_e_torchlight_2.jpg","Electrical Materials and Fittings","Torchlight","CN-L9216C","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_3","cat_e_torchlight_3.jpg","Electrical Materials and Fittings","Torchlight","CTL-CH413A","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_4","cat_e_torchlight_4.jpg","Electrical Materials and Fittings","Torchlight","DP-9005B","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_5","cat_e_torchlight_5.jpg","Electrical Materials and Fittings","Torchlight","DP-9013B","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_6","cat_e_torchlight_6.jpg","Electrical Materials and Fittings","Torchlight","DP-9110C","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_7","cat_e_torchlight_7.jpg","Electrical Materials and Fittings","Torchlight","DP-9162","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_8","cat_e_torchlight_8.jpg","Electrical Materials and Fittings","Torchlight","DP-9183","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_9","cat_e_torchlight_9.jpg","Electrical Materials and Fittings","Torchlight","DP-9184","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_10","cat_e_torchlight_10.jpg","Electrical Materials and Fittings","Torchlight","DP-9185","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_11","cat_e_torchlight_11.jpg","Electrical Materials and Fittings","Torchlight","DX-1804","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_12","cat_e_torchlight_12.jpg","Electrical Materials and Fittings","Torchlight","GR-9558A","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_13","cat_e_torchlight_13.jpg","Electrical Materials and Fittings","Torchlight","KM-7759","/images/catalog/web/torchlight.jpg"
"cat_e_torchlight_14","cat_e_torchlight_14.jpg","Electrical Materials and Fittings","Torchlight","KM-7773","/images/catalog/web/torchlight.jpg"
"cat_e_tv-guide_1","cat_e_tv-guide_1.jpg","Electrical Materials and Fittings","TV Guide","Volt Guard","/images/catalog/web/tv-guide.jpg"
"cat_k_air-freshner_1","cat_k_air-freshner_1.jpg","Kitchen Utensils","Air Freshner","Standard","/images/catalog/web/air-freshner.jpg"
"cat_k_bag_1","cat_k_bag_1.jpg","Kitchen Utensils","Bag","Bagco","/images/catalog/web/bag.jpg"
"cat_k_bag_2","cat_k_bag_2.jpg","Kitchen Utensils","Bag","Fancy","/images/catalog/web/bag.jpg"
"cat_k_bag_3","cat_k_bag_3.jpg","Kitchen Utensils","Bag","Lunch - Black - Big","/images/catalog/web/bag.jpg"
"cat_k_bag_4","cat_k_bag_4.jpg","Kitchen Utensils","Bag","Lunch - Character","/images/catalog/web/bag.jpg"
"cat_k_bag_5","cat_k_bag_5.jpg","Kitchen Utensils","Bag","Lunch - Character - 4 Corner","/images/catalog/web/bag.jpg"
"cat_k_bag_6","cat_k_bag_6.jpg","Kitchen Utensils","Bag","Lunch - Character - Big","/images/catalog/web/bag.jpg"
"cat_k_bag_7","cat_k_bag_7.jpg","Kitchen Utensils","Bag","School - Black - Big","/images/catalog/web/bag.jpg"
"cat_k_bag_8","cat_k_bag_8.jpg","Kitchen Utensils","Bag","School - Charater - Big","/images/catalog/web/bag.jpg"
"cat_k_bag_9","cat_k_bag_9.jpg","Kitchen Utensils","Bag","School - Charater - Medium","/images/catalog/web/bag.jpg"
"cat_k_bag_10","cat_k_bag_10.jpg","Kitchen Utensils","Bag","School - Charater - Small","/images/catalog/web/bag.jpg"
"cat_k_basket_1","cat_k_basket_1.jpg","Kitchen Utensils","Basket","Clothe - Big - Lundry - Round","/images/catalog/web/basket.jpg"
"cat_k_basket_2","cat_k_basket_2.jpg","Kitchen Utensils","Basket","Clothe - Small - Lundry - Round","/images/catalog/web/basket.jpg"
"cat_k_basket_3","cat_k_basket_3.jpg","Kitchen Utensils","Basket","Dustbin - Dustbin","/images/catalog/web/basket.jpg"
"cat_k_basket_4","cat_k_basket_4.jpg","Kitchen Utensils","Basket","Food - Food","/images/catalog/web/basket.jpg"
"cat_k_basket_5","cat_k_basket_5.jpg","Kitchen Utensils","Basket","Food Basket - OK Product","/images/catalog/web/basket.jpg"
"cat_k_basket_6","cat_k_basket_6.jpg","Kitchen Utensils","Basket","Laundry - Round Big","/images/catalog/web/basket.jpg"
"cat_k_basket_7","cat_k_basket_7.jpg","Kitchen Utensils","Basket","Laundry - Round Small","/images/catalog/web/basket.jpg"
"cat_k_basket_8","cat_k_basket_8.jpg","Kitchen Utensils","Basket","Laundry - Square","/images/catalog/web/basket.jpg"
"cat_k_basket_9","cat_k_basket_9.jpg","Kitchen Utensils","Basket","Plate","/images/catalog/web/basket.jpg"
"cat_k_basket_10","cat_k_basket_10.jpg","Kitchen Utensils","Basket","School","/images/catalog/web/basket.jpg"
"cat_k_basket_11","cat_k_basket_11.jpg","Kitchen Utensils","Basket","School with Cover","/images/catalog/web/basket.jpg"
"cat_k_bbq_1","cat_k_bbq_1.jpg","Kitchen Utensils","BBQ","Charcoal","/images/catalog/web/bbq.jpg"
"cat_k_bbq_2","cat_k_bbq_2.jpg","Kitchen Utensils","BBQ","Electrical","/images/catalog/web/bbq.jpg"
"cat_k_blender_1","cat_k_blender_1.jpg","Kitchen Utensils","Blender","Master Chef - B115 - 3 in 1 Breakable","/images/catalog/web/blender.jpg"
"cat_k_blender_2","cat_k_blender_2.jpg","Kitchen Utensils","Blender","Master Chef - B136 - 2 in 1","/images/catalog/web/blender.jpg"
"cat_k_blender_3","cat_k_blender_3.jpg","Kitchen Utensils","Blender","Master Chef - B142 - 3 in 1","/images/catalog/web/blender.jpg"
"cat_k_blender_4","cat_k_blender_4.jpg","Kitchen Utensils","Blender","Master Chef - B146 - 3 in 1 Stainless","/images/catalog/web/blender.jpg"
"cat_k_blender_5","cat_k_blender_5.jpg","Kitchen Utensils","Blender","Master Chef - B157 - 2 in 1","/images/catalog/web/blender.jpg"
"cat_k_blender_6","cat_k_blender_6.jpg","Kitchen Utensils","Blender","Master Chef - B159 - 3 in 1 Breakable","/images/catalog/web/blender.jpg"
"cat_k_blender_7","cat_k_blender_7.jpg","Kitchen Utensils","Blender","Master Chef - B181 - 4 in 1 Stainless","/images/catalog/web/blender.jpg"
"cat_k_blender_8","cat_k_blender_8.jpg","Kitchen Utensils","Blender","Master Chef - B651 - 2 in 1 Stainless","/images/catalog/web/blender.jpg"
"cat_k_blender_9","cat_k_blender_9.jpg","Kitchen Utensils","Blender","Master Chef - BL3302 - 2 in 1","/images/catalog/web/blender.jpg"
"cat_k_blender_10","cat_k_blender_10.jpg","Kitchen Utensils","Blender","Rico - 1803 - 3 in 1 - Lock","/images/catalog/web/blender.jpg"
"cat_k_blender_11","cat_k_blender_11.jpg","Kitchen Utensils","Blender","Rico - 1907 - 3 in 1 - Unlock","/images/catalog/web/blender.jpg"
"cat_k_blender_12","cat_k_blender_12.jpg","Kitchen Utensils","Blender","SMP BL-02 - 2in 1","/images/catalog/web/blender.jpg"
"cat_k_blender_14","cat_k_blender_14.jpg","Kitchen Utensils","Blender","VTCL - 2008 - 4 in 1 - Smart Leaf","/images/catalog/web/blender.jpg"
"cat_k_blender_13","cat_k_blender_13.jpg","Kitchen Utensils","Blender","VTCL - Excella","/images/catalog/web/blender.jpg"
"cat_k_boiling-ring_1","cat_k_boiling-ring_1.jpg","Kitchen Utensils","Boiling Ring","Standard","/images/catalog/web/boiling-ring.jpg"
"cat_k_bottle_1","cat_k_bottle_1.jpg","Kitchen Utensils","Bottle","Nice","/images/catalog/web/bottle.jpg"
"cat_k_bowl_1","cat_k_bowl_1.jpg","Kitchen Utensils","Bowl","Hana - 4 in 1","/images/catalog/web/bowl.jpg"
"cat_k_bowl_2","cat_k_bowl_2.jpg","Kitchen Utensils","Bowl","Hana - 5 in 1","/images/catalog/web/bowl.jpg"
"cat_k_bowl_3","cat_k_bowl_3.jpg","Kitchen Utensils","Bowl","SMP - Fashion Bowl","/images/catalog/web/bowl.jpg"
"cat_k_bowl_4","cat_k_bowl_4.jpg","Kitchen Utensils","Bowl","SMP with Cover","/images/catalog/web/bowl.jpg"
"cat_k_bowl_5","cat_k_bowl_5.jpg","Kitchen Utensils","Bowl","Washing Hand Bolw","/images/catalog/web/bowl.jpg"
"cat_k_breakable-plate_1","cat_k_breakable-plate_1.jpg","Kitchen Utensils","Breakable Plate","Awo","/images/catalog/web/breakable-plate.jpg"
"cat_k_breakable-plate_2","cat_k_breakable-plate_2.jpg","Kitchen Utensils","Breakable Plate","Awo - Pieces","/images/catalog/web/breakable-plate.jpg"
"cat_k_broom_1","cat_k_broom_1.jpg","Kitchen Utensils","Broom","Spinash","/images/catalog/web/broom.jpg"
"cat_k_brush_1","cat_k_brush_1.jpg","Kitchen Utensils","Brush","Big - Toilet","/images/catalog/web/brush.jpg"
"cat_k_brush_2","cat_k_brush_2.jpg","Kitchen Utensils","Brush","Feeder Brush","/images/catalog/web/brush.jpg"
